date,payems,gdpc1,cpiaucsl,dgorder,hsn1f,rsafs,unrate,houst,indpro,dspic96,boptexp,boptimp,whlslrimsa,ttlcons,ir,cpilfesl,pcepilfe,pcepi,permit,tcu,businv,ulcnfb,iq,a261rx1q020sbea
1947-01-01,,,,,,,,,,,,,,,,,,,,,,,,
1947-02-01,0.0005053405306074676,,0.006517690875232907,,,,,,0.005909749989015278,,,,,,,,,,,,,,,
1947-03-01,0.0011479211148610613,,0.01757631822386685,,,,,,0.0058677499435793035,,,,,,,,,,,,,,,
1947-04-01,-0.002476666590226384,,0.0,,,,,,-0.007780439612932288,,,,,,,,,,,,,,,
1947-05-01,0.0031954757580634485,,-0.002272727272727315,,,,,,0.003917077582937134,,,,,,,,,,,,,,,
1947-06-01,0.003941518859709392,-0.002652242815143535,0.005922551252847352,,,,,,0.0,,,,,,,,,,,,,-6.674676278195513e-05,,-0.0012212850684444332
1947-07-01,-0.0015293312029217576,,0.006793478260869623,,,,,,-0.005856323885227721,,,,,,,,,,,,,,,
1947-08-01,0.004960793726996426,,0.007647323436797082,,,,,,0.005890822449442057,,,,,,,,,,,,,,,
1947-09-01,0.005527752502274774,-0.002048792498663299,0.019642857142857295,,,,,,0.007818119727673656,,,,,,,,,,,,,0.062145384153260874,,0.001158666186599211
1947-10-01,0.004705562970839017,,0.0030647985989491477,,,,,,0.009689629068887262,,,,,,,,,,,,,,,
1947-11-01,0.00164373691202635,,0.006547359231776406,,,,,,0.013431013431013383,,,,,,,,,,,,,,,
1947-12-01,0.0021805593022210523,0.01565986875538594,0.015177797051170838,,,,,,0.003790601000493332,,,,,,,,,,,,,-0.01753393665158387,,0.009608954931602298
1948-01-01,0.0021982458895044577,,0.011533532678342562,,,,,,0.005657410786983785,,,,,,,,,,,,,,,
1948-02-01,-0.003267754426016678,,-0.0004222972972972583,,,,0.11764705882352944,,0.0018775213925763534,,,,,,,,,,,,,,,
1948-03-01,0.0033682886847954396,0.015060377474787279,-0.007182087029995898,,,,0.05263157894736836,,-0.011230084364963866,,,,,,,,,,,,,0.01893430563551468,,0.026816033269659645
1948-04-01,-0.0068034823087079754,,0.013617021276595809,,,,-0.025000000000000022,,0.00188824146944655,,,,,,,,,,,,,,,
1948-05-01,0.009396336104914527,,0.007976490344248521,,,,-0.10256410256410253,,0.017011371387984475,,,,,,,,,,,,,,,
1948-06-01,0.005312974372711832,0.016523774357252607,0.005830903790087438,,,,0.028571428571428692,,0.01301359443499428,,,,,,,,,,,,,0.016134095046770103,,0.023164529934615707
1948-07-01,0.002797886041657316,,0.010351966873705987,,,,0.0,,0.0,,,,,,,,,,,,,,,
1948-08-01,0.00039858281665194895,,0.0012295081967212962,,,,0.08333333333333326,,-0.0036723549488054674,,,,,,,,,,,,,,,
1948-09-01,0.0025676214086503,0.005745182699445239,-0.002865329512893977,,,,-0.02564102564102566,,-0.0073649305983749525,,,,,,,,,,,,,0.019461262819720826,,0.0008325425710122847
1948-10-01,-0.00108182099174281,,-0.0020525451559935126,,,,-0.02631578947368407,,0.007426477185668912,,,,,,,,,,,,,,,
1948-11-01,-0.0011714001547131758,,-0.006170300287947295,,,,0.027027027027026973,,-0.012893678534971253,,,,,,,,,,,,,,,
